ecgl	ecgnl
0.015808559	0.015808559
0.043081461	0.062312519
0.060314274	0.058055388
-0.021814238	-0.013115041
0.003305198	-0.000402888
0.084287237	0.044053743
0.057961321	0.014656819
0.067024591	0.066730178
-0.01378991	-0.023151669
0.063023518	0.036044504
0.050551447	0.028150858
0.096091544	0.084599849
-0.007264704	-0.050994619
0.014034533	0.017591225
0.098780808	0.021501968
-0.076315635	-0.096994658
0.121110882	0.083778732
0.179733398	0.163108941
0.024064216	0.012311479
0.095783812	0.039545702
0.03893532	0.003237244
0.087845974	0.046956731
0.050128015	0.010022839
0.078010262	0.025198677
0.187415233	0.112468519
0.045185153	-0.009527158
0.061692778	0.00531355
0.100193677	0.031585426
0.093009907	0.030030876
0.133050769	0.109893313
0.182770711	0.140764349
0.007458469	-0.008435504
0.079719431	0.018604184
0.175454355	0.086859942
0.135168057	0.051981949
0.251862448	0.180840337
0.208010623	0.173172043
0.169336208	0.129510267
0.199038394	0.139921992
0.158814596	0.105001073
0.245000453	0.170284063
0.283186527	0.198654603
0.213628424	0.159541835
0.317568258	0.259050773
0.289036243	0.206356754
0.248862735	0.177500088
0.240489472	0.211734554
0.305084769	0.258196966
0.24245351	0.193639867
0.257514922	0.219455686
0.41422124	0.352573975
0.288978726	0.220394344
0.396080156	0.301588229
0.38673911	0.305360056
0.445212831	0.354081313
0.364515262	0.311114159
0.247228711	0.171734473
0.36488021	0.262548744
0.398146715	0.340942703
0.422574178	0.338425469
0.530499132	0.433839884
0.467091935	0.416214051
0.462821309	0.380920783
0.424856827	0.370401415
0.362543853	0.299016785
0.539891311	0.479779451
0.46729121	0.403503591
0.39770971	0.329682922
0.478291573	0.42046638
0.458106974	0.39576918
0.439169239	0.353923373
0.507851991	0.398912995
0.375691614	0.330703435
0.361151367	0.290497053
0.345184571	0.262002438
0.409620629	0.323346275
0.397862987	0.302001232
0.426822151	0.347182654
0.28422444	0.241862294
0.38912896	0.298401787
0.320866839	0.225376495
0.44961908	0.382939019
0.349862065	0.278422558
0.403643745	0.337400845
0.367360804	0.292656762
0.364520007	0.305158556
0.295723685	0.193837081
0.360158642	0.306245008
0.378388564	0.307813062
0.227831737	0.123165075
0.295920466	0.210000459
0.249001181	0.178039958
0.279929878	0.210289967
0.237636512	0.151771196
0.296172644	0.200053991
0.300120332	0.20777559
0.294598602	0.181975948
0.213263978	0.155641996
0.162989507	0.088908137
0.185096676	0.148075922
0.196556466	0.110970305
0.156820681	0.064884814
0.196561059	0.117844006
0.145152759	0.101990562
0.158355174	0.122895424
0.276623611	0.163722731
0.195008597	0.143734096
0.275772242	0.181026845
0.152425036	0.080088135
0.148077329	0.074140462
0.176459238	0.113438917
0.274477499	0.188161433
0.256493542	0.185000576
0.167294433	0.114341668
0.15935049	0.091604358
0.119547147	0.046231501
0.227332598	0.156671667
0.206876381	0.125037572
0.146427253	0.065821698
0.13069892	0.108797989
0.090887113	0.034869907
0.217755453	0.148657918
0.199714537	0.119274535
0.294575774	0.210352099
0.142511995	0.061634347
0.240965905	0.178946852
0.236443245	0.138419279
0.188684009	0.136183238
0.207477287	0.168702029
0.269569564	0.193358791
0.167425334	0.080947273
0.287345188	0.201261249
0.152224662	0.075631752
0.166344913	0.083241934
0.172354764	0.104135445
0.271214616	0.175402328
0.176881182	0.085896954
0.222146841	0.156946515
0.24003181	0.161620659
0.233910736	0.149548309
0.26193916	0.170386604
0.143119777	0.084831555
0.280133619	0.194668944
0.232319497	0.150781394
0.260954755	0.182423693
0.179938992	0.097561331
0.205716868	0.150154268
0.261674116	0.192248428
0.278064997	0.199891282
0.192606171	0.145782579
0.061479043	0.032129276
0.112204808	0.044770675
0.142912418	0.085348947
0.150755086	0.088935713
0.09901096	0.047185486
0.002620574	-0.03179637
0.146113624	0.085860977
0.020568662	-0.047935778
0.021440336	-0.033471584
-0.07868812	-0.122726272
-0.136170141	-0.182882499
0.001831207	-0.040347548
0.048121499	0.029798915
0.171995171	0.121551254
0.12209141	0.056516677
0.09878083	0.054093189
0.300283006	0.268882071
0.30886439	0.25374921
0.301916381	0.236710487
0.366910652	0.317634427
0.406876197	0.357676386
0.551596965	0.508694282
0.558887413	0.532774755
0.607211982	0.567832298
0.678673583	0.620244213
0.653523134	0.619670743
0.811134278	0.762926793
0.815090965	0.783116346
0.849353327	0.805265358
0.880594005	0.861611812
0.924940266	0.918286131
0.912378303	0.931546148
1.108745739	1.065492584
1.185176912	1.150559546
1.298474912	1.257169591
1.24841967	1.211195962
1.061617164	1.07231665
1.076896141	1.050930449
0.979605307	0.917969408
0.90569216	0.865104134
0.808243586	0.79025522
0.719649122	0.708982601
0.708738952	0.696993711
0.57298754	0.549758294
0.58711269	0.566328169
0.498365473	0.50017342
0.445718282	0.43972205
0.32268777	0.314266576
0.308680302	0.273676468
0.29274026	0.260322667
0.117356091	0.100259835
0.000962173	0.016156343
0.054918079	0.041115654
-0.221868921	-0.245507977
-0.21237984	-0.215456578
-0.163907763	-0.143667564
-0.371771503	-0.361318467
-0.418856358	-0.438321509
-0.542795579	-0.544187775
-0.506398755	-0.515776211
-0.726594302	-0.733480072
-0.582398689	-0.597037553
-0.440125182	-0.457803788
-0.40901093	-0.415309433
-0.305664133	-0.313125801
-0.264415154	-0.267084738
-0.19709237	-0.168448136
-0.184226917	-0.195947067
-0.036713888	-0.049756774
-0.070489273	-0.068074116
0.105454869	0.120333588
0.11402327	0.13655625
0.212203991	0.255766221
0.184540728	0.197312886
0.239482594	0.241804679
0.28290083	0.279262362
0.109577788	0.128760052
0.108132423	0.135561863
0.154020775	0.138499743
0.287967372	0.273733387
0.279476428	0.252749398
0.157580902	0.198553488
0.260792446	0.309814845
0.221725028	0.242938542
0.140087294	0.157893983
0.174452831	0.187464032
0.1326728	0.170345875
0.255598013	0.288538138
0.175664724	0.211924055
0.113927772	0.184571785
0.166698102	0.215497064
0.171573397	0.203717308
0.246435202	0.289373565
0.252851254	0.271777902
0.239182914	0.264213601
0.239012523	0.271072661
0.226844334	0.253618848
0.205985759	0.205213699
0.234421007	0.280923033
0.224634197	0.213972456
0.196021278	0.202619871
0.184089939	0.203696796
0.216640458	0.302065273
0.250332475	0.308826458
0.098330457	0.173018873
0.20929051	0.254741598
0.204118579	0.275929738
0.173406716	0.233999674
0.280367379	0.30375415
0.20095178	0.279612889
0.16825451	0.260435984
0.170041279	0.241393379
0.241622349	0.30430106
0.269074473	0.314101303
0.238793956	0.296288045
0.193961449	0.262019855
0.263771875	0.321244467
0.144955015	0.23103738
0.226339092	0.284789734
0.303683883	0.348574409
0.203272636	0.270455274
0.194716819	0.238934672
0.303749017	0.379484624
0.221315175	0.271152899
0.208458769	0.306766188
0.174056527	0.24569091
0.239143263	0.301438211
0.215792608	0.311594898
0.184135578	0.289658328
0.217956075	0.30692102
0.268561442	0.352032092
0.170481101	0.222783219
0.203753938	0.304453443
0.134952809	0.19580173
0.209902377	0.297968221
0.297851177	0.394259799
0.253788019	0.345977123
0.256172194	0.299760315
0.184606436	0.28438071
0.270575537	0.328892336
0.268485766	0.356510281
0.204662084	0.305588586
0.308880163	0.386775873
0.175676523	0.266431316
0.112524648	0.208522362
0.186410407	0.272187003
0.194748161	0.300817626
0.237990859	0.293331078
0.173956776	0.270786778
0.297398394	0.381203493
0.153985429	0.234711982
0.171265518	0.29212322
0.195572495	0.269435276
0.210646075	0.295381212
0.166476922	0.286964671
0.24501407	0.345377851
0.144517789	0.270592465
0.198503751	0.282798671
0.219528012	0.330074361
0.287472635	0.380403262
0.123615825	0.234664027
0.310585188	0.418564283
0.161515954	0.285844183
0.238606979	0.363335789
0.268493825	0.388900097
0.338818354	0.408049207
0.220070798	0.321499283
0.245358284	0.354055672
0.240164861	0.350194274
0.259356873	0.333502256
0.268791482	0.382843492
0.281482143	0.392662867
0.224954545	0.362587634
0.265477962	0.392294079
